address,pic,links,name of property,rent,rooms
"3120 Hollypark Dr, Inglewood, CA 90305",https://images1.apartments.com/i2/JlcR5ha_1BmR92bV6XzuUJs0-dZcaf2reBu46beNo3k/117/hollypark-knolls-inglewood-ca-interior-photo.jpg?p=1,https://www.apartments.com/hollypark-knolls-inglewood-ca/3k3yh1f/,Hollypark Knolls,"$1,889 - 3,043",1-2 Beds
"4735 Sepulveda Blvd, Sherman Oaks, CA 91403",https://images1.apartments.com/i2/XlKcBx0VkpBG1-K8mDKhNtKDfV1erdxn8CsGs1c1Klw/117/veda-sherman-oaks-ca-building-photo.jpg?p=1,https://www.apartments.com/veda-sherman-oaks-ca/bt4sxfc/,VEDA,Call for Rent,1-2 Beds
"5012 S Slauson Ave, Culver City, CA 90230",https://images1.apartments.com/i2/46thAKOHDjmpFuskmatGrRdz4M37DOSYtDxWHYebkuM/117/5012-apartments-culver-city-ca-building-photo.jpg?p=1,https://www.apartments.com/5012-apartments-culver-city-ca/pt1m8ev/,5012 Apartments,"$3,500 - 3,995",2 Beds
"6625 Reseda Blvd, Reseda, CA 91335",https://images1.apartments.com/i2/1vS27uU02RFJKK-fKy22QROLG_mAiP4yKhcM-ucgiuI/117/watermark-apartments-reseda-ca-building-photo.jpg?p=1,https://www.apartments.com/watermark-apartments-reseda-ca/ry0vfc1/,Watermark Apartments,"$2,195 - 2,295",1 Bed
"524 E Elk Ave, Glendale, CA 91205",https://images1.apartments.com/i2/8czA3ra4GVohJzHRn5xAny5jqLYv4eBQzoxBaDZxGaw/117/elk-villas-glendale-ca-building-photo.jpg?p=1,https://www.apartments.com/elk-villas-glendale-ca/56pwrwn/,Elk Villas,"$1,795",1 Bed
"8803 Darby Ave, Northridge, CA 91325",https://images1.apartments.com/i2/984hhOm1NBSmRjVPUFtyFbLOa0x07puNWXZH-NdyWrg/117/darby-apartments-6-month-leases-available-northridge-ca-building-photo.jpg?p=1,https://www.apartments.com/darby-apartments-6-month-leases-available-northridge-ca/v20b8wd/,Darby Apartments|| 6 Month Leases Available**,"$2,540 - 2,635",2 Beds
"12300 Sherman Way, North Hollywood, CA 91605",https://images1.apartments.com/i2/YyolAnaYIb9okhckPph7xOrw8PWYQskTGHfeUmTgKIk/117/the-marquee-apartments-north-hollywood-ca-building-photo.jpg?p=1,https://www.apartments.com/the-marquee-apartments-north-hollywood-ca/2rv8hcc/,The Marquee Apartments,"$1,589 - 1,929",Studio - 2 Beds
"15454 Sherman Way, Van Nuys, CA 91406",https://images1.apartments.com/i2/_LNDPP88tsI4xCOLyBxHPUBtJKlsLKValIH79Zb-wgU/117/san-regis-apartments-van-nuys-ca-building-photo.jpg?p=1,https://www.apartments.com/san-regis-apartments-van-nuys-ca/j6mfdj7/,San Regis Apartments,"$1,578 - 4,179",Studio - 2 Beds
"14335 Sherman Way, Van Nuys, CA 91405",https://images1.apartments.com/i2/rekqUVeGK3-yCd_DmFmYnB1T9yL5-m_l9sshyKKHdaM/117/oak-tree-apartments-van-nuys-ca-building-photo.jpg?p=1,https://www.apartments.com/oak-tree-apartments-van-nuys-ca/zbsd1tz/,Oak Tree Apartments,"$1,425",Studio
"Los Angeles, CA 90034",https://images1.apartments.com/i2/sjmGubQAszcoxEi2-Kkr0zoBV7-JoShkGuy8aEtoXw0/117/10844-rose-ave-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/10844-rose-ave-los-angeles-ca/lxj0grg/,10844 Rose Ave,Call for Rent,1-2 Beds
"Los Angeles, CA 90019",https://images1.apartments.com/i2/-8VhTZRA76xeTXSZXKqpV66q0bE7yU4Fp9TKNTZvzvY/117/934-s-st-andrews-pl-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/934-s-st-andrews-pl-los-angeles-ca/hbj2q02/,934 S St Andrews Pl,"$4,320",4 Beds
"Los Angeles, CA 90028",https://images1.apartments.com/i2/y9mVeBMy9pGV3Vap-t1xIE-sH2K5oQppACBiU79iYzo/117/5711-carlton-way-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/5711-carlton-way-los-angeles-ca/cwyk8tg/,5711 Carlton Way,"$2,500 - 2,700",2 Beds
"432 S Normandie Ave, Los Angeles, CA 90020",https://images1.apartments.com/i2/vKR_NODYGpmChf31NJv51phRWRsYnFU7Q9P6xVZszYo/117/432-s-normandie-ave-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/432-s-normandie-ave-los-angeles-ca/dlm7fnh/,432 S Normandie Ave,"$1,850 - 2,295",1-2 Beds
"844-854 Fedora St, Los Angeles, CA 90005",https://images1.apartments.com/i2/b3-VDCHDf-ZydPGxMEBWbvIqsCtker8yf0JID1GETTo/117/lexington-at-fedora-los-angeles-ca-kitchen.jpg?p=1,https://www.apartments.com/lexington-at-fedora-los-angeles-ca/5j03g5p/,Lexington at Fedora,"$2,850 - 3,200",2 Beds
"4120-4124 Normal Ave, Los Angeles, CA 90029",https://images1.apartments.com/i2/bmX1-ypQBWi6S6m002uctR90WwgO_TETxrjlfyoItUo/117/nash-on-normal-los-angeles-ca-exterior.jpg?p=1,https://www.apartments.com/nash-on-normal-los-angeles-ca/294mbg8/,Nash on Normal,"$2,840 - 3,257",1-2 Beds
"10965 Strathmore Dr, Los Angeles, CA 90024",https://images1.apartments.com/i2/-TYTWV5MxLBqt8IyVkfxZuCCcM5WYgA1V7No6fmpeCM/117/atrium-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/atrium-los-angeles-ca/lfv81xf/,Atrium,"$4,950",1-2 Beds
"1769 N Orange Dr, Los Angeles, CA 90028",https://images1.apartments.com/i2/EUaMfan3styu9pcOdqIrj-CB6pLxIivOLWcfm-v9YbE/117/1769-n-orange-dr-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/1769-n-orange-dr-los-angeles-ca/hxv1qe1/,1769 N Orange Dr,"$1,645",Studio
"619 N Kingsley Dr, Los Angeles, CA 90004",https://images1.apartments.com/i2/lgpwF9_s9JpltWH9Ho095gMptiW58FEnQBWq9JT75TU/117/619-north-kingsley-drive-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/619-north-kingsley-drive-los-angeles-ca/f68z5ns/,619 North Kingsley Drive,"$2,995",2-3 Beds
"Los Angeles, CA 90026",https://images1.apartments.com/i2/TdfTICNGiEGXVjGTquUMNsjQVPBeENhtnS49manfTg4/117/1072-laguna-ave-los-angeles-ca-interior-photo.jpg?p=1,https://www.apartments.com/1072-laguna-ave-los-angeles-ca/e2t5c4p/,1072 Laguna Ave,"$2,772",2 Beds
"4646 Los Feliz Blvd, Los Angeles, CA 90027",https://images1.apartments.com/i2/mr5Iqi_fu-t5ycAe7ZImDTd6nfrMk3YkNdUrPiKqytk/117/los-feliz-bliss-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/los-feliz-bliss-los-angeles-ca/eyl813p/,Los Feliz Bliss,"$2,518 - 4,964",1 Bed
"618 S Detroit St, Los Angeles, CA 90036",https://images1.apartments.com/i2/BV5DtNgBBjvofWI21iXt2OdItMIZ8Mxqwn8Vw9E_8Zc/117/618-s-detroit-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/618-s-detroit-los-angeles-ca/c6cp02f/,618 S. Detroit,"$2,795",2 Beds
"Los Angeles, CA 90035",https://images1.apartments.com/i2/OQ6a3tTi9PQMmsBxE1TI5ksgcZ4-0tZgDr2X8Dn5R0E/117/1025-s-holt-ave-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/1025-s-holt-ave-los-angeles-ca/9hfgtl4/,1025 S Holt Ave,"$2,395 - 4,695",1-3 Beds
"11650 National Blvd, Los Angeles, CA 90064",https://images1.apartments.com/i2/FmcY9MWMtoD6mwYGYhPsqbcX0dNQYa-fuFoDio3LgWA/117/national-apartments-los-angeles-ca-blue-tiled-kitchen-with-stainless-steel-.jpg?p=1,https://www.apartments.com/national-apartments-los-angeles-ca/1e89h64/,National Apartments,"$3,575",Studio - 2 Beds
"1650 Echo Park Ave, Los Angeles, CA 90026",https://images1.apartments.com/i2/ueQxqibL9_-i4Tibbzmr3pgulqyaFGylmqH0F79f7lg/117/ec1---1650-echo-park-apartments-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/ec1-1650-echo-park-apartments-los-angeles-ca/qztzc4y/,EC1 - 1650 Echo Park Apartments,"$1,895",Studio
"930 Figueroa Ter, Los Angeles, CA 90012",https://images1.apartments.com/i2/lLCewfk2CuguwyMdOex-laW-xrR0j6CdJXJOVN22epw/117/skyline-terrace-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/skyline-terrace-los-angeles-ca/9qj6hn6/,Skyline Terrace,"$2,138 - 2,717",1-2 Beds
"3650 Regal Pl, Los Angeles, CA 90068",https://images1.apartments.com/i2/UNEL7zn43R1wVBDXaZCT5DAzCRp27VVrYnKmKlACa7s/117/rgl---regal-apartments-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/rgl-regal-apartments-los-angeles-ca/v58svgd/,RGL - Regal Apartments,"$2,150",1 Bed
"1744 Butler Ave, Los Angeles, CA 90025",https://images1.apartments.com/i2/zx102dJ4Da6ZdBhVTSzkym-yGWLwcXUVWUiOzD49atg/117/plymouth-holdings-butler-llc-21030-los-angeles-ca-interior-photo.jpg?p=1,https://www.apartments.com/plymouth-holdings-butler-llc-21030-los-angeles-ca/3d4wkgf/,Plymouth Holdings Butler LLC (21030),"$2,500 - 4,600",Studio - 2 Beds
"3676 Mentone Ave, Los Angeles, CA 90034",https://images1.apartments.com/i2/TRjocylxE50LLOqv_7QEr6v8ZMnC5aN2Wp3YmxJlaE0/117/mentone-apartments-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/mentone-apartments-los-angeles-ca/5cp63wm/,Mentone Apartments,"$3,053",2 Beds
"1338-1352 N Harper Ave, Los Angeles, CA 90046",https://images1.apartments.com/i2/Uc6pviWpotOvhOWQRFiaHhmwgGL3lLcotF5j5J3tONc/117/villa-sevilla-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/villa-sevilla-los-angeles-ca/jqsxn94/,Villa Sevilla,"$3,245",1 Bed
"333 S Kingsley Dr, Los Angeles, CA 90020",https://images1.apartments.com/i2/pAXLYC037py9UeooJOlCv1AJXyxZJ_VkH6glYoocl4c/117/kingsley-tower-apartments-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/kingsley-tower-apartments-los-angeles-ca/1tz49x4/,Kingsley Tower Apartments,"$2,785 - 3,660",2 Beds
"910 N Martel Ave, Los Angeles, CA 90046",https://images1.apartments.com/i2/xzcFmuvtnxNce2yqsW5Zt-mQzhvD-Bc1dITxfdxJf84/117/metro-art-west-hollywood-luxury-living-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/metro-art-west-hollywood-luxury-living-los-angeles-ca/cdgztbe/,Metro Art West Hollywood Luxury Living,"$3,254 - 3,395",2 Beds
"701 S Gramercy Dr, Los Angeles, CA 90005",https://images1.apartments.com/i2/PwbJ7tcZCg7wxXacPhPNSsfTjyXxsGleR96Wd-9WBSI/117/ancelle-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/ancelle-los-angeles-ca/gqs5r6w/,Ancelle,"$1,620 - 4,830",Studio - 3 Beds
"4151 Redwood Ave, Los Angeles, CA 90066",https://images1.apartments.com/i2/FQlVZT4aesBmX11JY5LnR9fSwPnIi5mRPgta07kqv-s/117/r1-living-townhouses-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/r1-living-townhouses-los-angeles-ca/kpetvmc/,R1 Living Townhouses,"$5,999 - 7,299",3 Beds
"3325-3329 S Canfield Ave, Los Angeles, CA 90034",https://images1.apartments.com/i2/tYDk3p5hm4jjnB4oBkzeeXhC7GNQAOSg4fk8V-y4o-U/117/the-culver-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/the-culver-los-angeles-ca/9sg1c14/,The Culver,"$2,395 - 2,825",Studio
"6174 Mesa Ave, Los Angeles, CA 90042",https://images1.apartments.com/i2/9vQEKzlwprLsY7a2hZV86OiMcLqsfiKUSnFBZk2UJ4A/117/mesa-villa-apartments-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/mesa-villa-apartments-los-angeles-ca/mq4nznj/,Mesa Villa Apartments,"$1,995",Studio - 1 Bed
"3205 Los Feliz Blvd, Los Angeles, CA 90039",https://images1.apartments.com/i2/zXC7gVDYyC9KqZv30NVs36A8MkHGyvEMsEtAICiI-xE/117/rancho-los-feliz-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/rancho-los-feliz-los-angeles-ca/ybf102t/,Rancho Los Feliz,"$1,869 - 4,590",Studio - 2 Beds
"Los Angeles, CA 90036",https://images1.apartments.com/i2/Vhv-uEslakfd62Q9vI94hsjeus7BpIkN8DxAXjQ1Nak/117/600-s-burnside-ave-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/600-s-burnside-ave-los-angeles-ca/c2fje8f/,600 S Burnside Ave,"$1,999",Studio
"1417 Veteran Ave, Los Angeles, CA 90024",https://images1.apartments.com/i2/k0s9t_zIrN09MFHtr5gRikoqBaDMY1LXOdHS_GJvMRA/117/veteran-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/veteran-los-angeles-ca/ss1wvf5/,Veteran,"$2,095",Studio
"6315 Primrose Ave, Los Angeles, CA 90068",https://images1.apartments.com/i2/un6A1xMLTmOEoU0YLcxz_7w57_Ipd4WQtNMPujlOX9k/117/6315-primrose-ave-los-angeles-ca-6315-primrose.jpg?p=1,https://www.apartments.com/6315-primrose-ave-los-angeles-ca/23wxjzb/,6315 Primrose Ave,"$1,950 - 2,600",1-2 Beds
"1340 N Poinsettia Pl, Los Angeles, CA 90046",https://images1.apartments.com/i2/4606ucQoboSJl9qpz1Ru44y90szLhbyV3tiS7NShhCY/117/kaitlin-court-apartments-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/kaitlin-court-apartments-los-angeles-ca/thhpxx8/,Kaitlin Court Apartments,"$1,966 - 2,767",Studio - 2 Beds
"1327-1329 S Crenshaw Blvd, Los Angeles, CA 90019",https://images1.apartments.com/i2/bFax9rtUQiH9RuUeuFnKGsjQmbuBmDjo5foyMB9oXLY/117/crenshaw-townhouse-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/crenshaw-townhouse-los-angeles-ca/701dj3w/,Crenshaw Townhouse,"$1,500 - 3,091",Studio - 3 Beds
"4525 August St, Los Angeles, CA 90008",https://images1.apartments.com/i2/QkSyK5wWZlsbyftDvmGtImH_bip_lnCINOy3UIOWuck/117/baldwin-04-los-angeles-ca-interior-photo.jpg?p=1,https://www.apartments.com/baldwin-04-los-angeles-ca/fylrmbr/,BALDWIN 04,"$1,795 - 2,395",Studio - 2 Beds
"1318 N Mansfield Ave, Los Angeles, CA 90028",https://images1.apartments.com/i2/_rngA-4Tt2tD3rVORZE2pE-MBRk4HLTZ0UfrsEFqoKA/117/chateau-mansfield-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/chateau-mansfield-los-angeles-ca/zyppqlz/,Chateau Mansfield,"$2,130 - 2,770",1-2 Beds
"3700 S Sepulveda Blvd, Los Angeles, CA 90034",https://images1.apartments.com/i2/mtXD-z3uzYaQNWCDpSbwkZux7Zo0O56YDcfiuBbCnCk/117/3700-sepulveda-apartments-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/3700-sepulveda-apartments-los-angeles-ca/s98phx5/,3700 Sepulveda Apartments,"$2,540 - 2,850",1-2 Beds
"1533 Selby Ave, Los Angeles, CA 90024",https://images1.apartments.com/i2/cV9t3V_j_3ZYqiWhCPankyTV9eYObyGgm7p43QC60DM/117/the-aster-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/the-aster-los-angeles-ca/6lngett/,The Aster,"$1,725 - 3,696",Studio
"Los Angeles, CA 90034",https://images1.apartments.com/i2/uVWzrA0H9e-frjobEyS9Rh3l8NKq0O_0m-lHPPMBAOg/117/8960-hargis-st-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/8960-hargis-st-los-angeles-ca/temt53c/,8960 Hargis St,"$2,800 - 3,000",2 Beds
"2901 S Sepulveda Blvd, Los Angeles, CA 90064",https://images1.apartments.com/i2/YJk49W-63nXu5zf5zSoxPoh_l03_7HMjmhqrlmX9tyI/117/westwood-villa-los-angeles-ca-interior-photo.jpg?p=1,https://www.apartments.com/westwood-villa-los-angeles-ca/0cds1f3/,Westwood Villa,"$2,295",1 Bed
"11858 Goshen Ave, Los Angeles, CA 90049",https://images1.apartments.com/i2/G3x_bOjXIVhsYn9K3R_ENIxhe__dk7R1_MXbMWp8zHw/117/the-brentwood-collection-los-angeles-ca-11956-dorothy-avenue-exterior-building.jpg?p=1,https://www.apartments.com/the-brentwood-collection-los-angeles-ca/4zzqygh/,The Brentwood Collection,"$2,095",1 Bed
"4757-4811 W Slauson Ave, Los Angeles, CA 90056",https://images1.apartments.com/i2/wIgXmt_xFTT_z70Ood4nkLyvMbl6IT7jfm54UjRI6Ds/117/ladera-apartments-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/ladera-apartments-los-angeles-ca/mjzwt3j/,Ladera Apartments,"$1,555 - 2,585",Studio - 2 Beds
"10600 Wilshire Blvd, Los Angeles, CA 90024",https://images1.apartments.com/i2/mTwGVe4ck91yPpEKJwwrA-DCd6yFJaJPrgsmVIbdO1M/117/10600-wilshire-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/10600-wilshire-los-angeles-ca/3qmd6yf/,10600 Wilshire,"$3,000 - 4,000",2 Beds
"4711 Beverly Blvd, Los Angeles, CA 90004",https://images1.apartments.com/i2/n2tygzDNxyflyuYhBVw71c90ZuRwXmih-ARBVvZF7oU/117/the-gatesthe-arch-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/the-gates-the-arch-los-angeles-ca/221069c/,The Gates/The Arch,"$1,397 - 3,250",Studio - 2 Beds
"22035 Burbank Blvd, Woodland Hills, CA 91367",https://images1.apartments.com/i2/SWs58iHx0PaAzBgls5K0BQsHwihoRlG7ovOwn_Dn-44/117/woodland-house-apartments-woodland-hills-ca-interior-photo.jpg?p=1,https://www.apartments.com/woodland-house-apartments-woodland-hills-ca/nykc4em/,Woodland House Apartments,"$2,045 - 2,645",1-2 Beds
"5461 Yarmouth Ave, Encino, CA 91316",https://images1.apartments.com/i2/eWrYKOI_dtGXCI6KnBtbA7ZhA2LSQ9tXhNADfq9S0J0/117/yarmouth-apartments-encino-ca-building-photo.jpg?p=1,https://www.apartments.com/yarmouth-apartments-encino-ca/6lqs4fs/,Yarmouth Apartments,"$2,195",1 Bed
"12203-12207 Moorpark St, Studio City, CA 91604",https://images1.apartments.com/i2/rURjT81yk-y0VAAZ6OG_vftPmfJFCpUj3zT68Fli1as/117/12203-moorpark-st-studio-city-91604-studio-city-ca-building-photo.jpg?p=1,https://www.apartments.com/12203-moorpark-st-studio-city-91604-studio-city-ca/tkfgvt9/,12203 Moorpark St. Studio City 91604,"$2,874 - 2,967",2 Beds
"15353 Weddington St, Sherman Oaks, CA 91411",https://images1.apartments.com/i2/r-CdjkKB5ezUM4buavcSMVoLN0PfA0EPs7eLd1sQfAA/117/summerview-beach-resort-luxury-apartments-sherman-oaks-ca-building-photo.jpg?p=1,https://www.apartments.com/summerview-beach-resort-luxury-apartments-sherman-oaks-ca/9k6p5r4/,Summerview Beach Resort Luxury Apartments,"$2,095 - 2,195",Studio - 1 Bed
"875 Glenway Dr, Inglewood, CA 90302",https://images1.apartments.com/i2/dWzeeP50w0f6RLC2don_0URF4jumv-Q7LmxIxs49Ois/117/palm-view-village-inglewood-ca-building-photo.jpg?p=1,https://www.apartments.com/palm-view-village-inglewood-ca/mqn9y0j/,Palm View Village,"$2,200 - 3,600",1-3 Beds
